Mat, DW Model Price ,CX Avg Price
FIR,"1,018,751.33",746425.84
CAF,"1,181.46",863.86
CC,"589,900.40",428189.75
RSH,"38,426.75",27883.65
MUS,245.3,177.98
FLP,521.07,377.5
HCP,287.79,208.34
AUO,255.09,184.57
GRN,300.81,215.32
BWH,"5,020.95",3591.26
MLI,"19,189.26",13700
AU,"1,363.17",966.01
ETC,"15,563.23",11000
DOU,"209,244.17",146404.37
CD,"18,527.78",12850
STR,"2,069.72",1430
VEG,269.01,185.65
I,909.18,621.1
LCR,"2,294.68",1562.5
TI,"1,577.16",1073.6
SU,"180,500.43",121624.9
THF,499.43,334.02
HTE,"3,067,961.34",2024349.19
LFP,"7,938.67",5222.5
MHL,"3,621.53",2381.36
RCO,"1,045.07",680.99
GAL,177.47,114.46
IMM,"119,256.72",76719.07
MAI,345.6,219.61
GCH,"22,480.74",14265.28
NF,"9,594.68",6026.76
TA,"19,627.28",11958.53
HHP,"5,416.11",3285.48
WR,"160,614.40",96549.4
ANZ,"117,640.41",70651.07
SCR,181.07,108.09
MWF,246.73,147.25
BEA,333.72,191.13
AFP,"235,683.05",134429.59
GEN,"278,837.55",158750
DCH,"17,635.94",10001.4
GV,"1,568.72",887.5
BFR,"3,691.24",2075
SIL,"4,155.32",2291.83
W,"18,800.44",10200
HPC,"29,243.40",15431.51
ZR,"18,100.02",9472.5
OLF,"1,167.71",582.5
DD,"46,868.91",23272.18
HOP,"2,852.28",1330.97
FEO,141.01,65.53
HNZ,"201,379.24",93148.39
NOZ,"77,439.72",35643.15
SRP,"25,578.73",11770.92
DV,"20,759.83",9411.35
CHA,"48,636.23",21825
NUT,353.42,155.28
AR,262.83,113.24
GNZ,"48,414.70",19968.84
CA,970.59,399.05
CST,"3,930.52",1400.15
DRF,"4,821.36",1697.5
TS,218.45,73.2
MAG,273.18,90.25
NA,426.34,25
